iter	Passed	Remaining
0	2	210
1	3	173
2	5	172
3	6	158
4	7	149
5	8	138
6	10	141
7	12	141
8	13	136
9	15	138
10	16	136
11	18	133
12	19	129
13	21	129
14	22	126
15	23	122
16	24	118
17	26	119
18	27	118
19	28	114
20	29	111
21	30	108
22	31	106
23	33	106
24	35	105
25	36	103
26	37	102
27	39	101
28	40	99
29	42	99
30	43	96
31	44	94
32	46	93
33	47	92
34	49	91
35	49	88
36	50	86
37	52	85
38	53	83
39	54	81
40	55	80
41	56	77
42	57	76
43	58	74
44	59	73
45	60	71
46	62	70
47	63	68
48	64	67
49	65	65
50	66	64
51	67	62
52	68	61
53	70	59
54	70	57
55	72	56
56	73	55
57	74	53
58	75	52
59	76	50
60	77	49
61	78	48
62	79	46
63	80	45
64	81	44
65	83	42
66	84	41
67	85	40
68	86	39
69	88	37
70	89	36
71	90	35
72	91	33
73	92	32
74	93	31
75	94	29
76	96	28
77	97	27
78	98	26
79	98	24
80	100	23
81	101	22
82	102	21
83	103	19
84	105	18
85	106	17
86	107	15
87	108	14
88	109	13
89	110	12
90	112	11
91	114	9
92	116	8
93	117	7
94	118	6
95	119	4
96	120	3
97	121	2
98	122	1
99	124	0
